tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
Gigabyte GA-H87-HD3 ATX LGA1150,10853613,LGA 1150,ATX,32,4,,DDR3,,sata_6_gb_s
ASRock A520 A520M-HDVP/DASH AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z270 ROG STRIX Z270G GAMING DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME H610M-K LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,ĐEN,DDR5,PCIe 4.0 x4,
Asus 990FX TUF SABERTOOTH R3.0 DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN,DDR3,PCIe 4.0 x4,sata_6_gb_s
ASRock Z390 STEEL LEGEND DDR4 ATX,11012210,LGA 1151,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H510 PRIME H510M-A R2.0 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B250F STRIX GAMING DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus PRIME B550M-A WI-FI DDR4 Micro ATX [Delete],3815546,AM4,Micro ATX,128,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,
MSI B560M PRO DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS B760M-AYW WIFI II,4858808,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI Z170A MPOWER GAMING TITANIUM DDR4 ATX,10295099,LGA 1151,ATX,64,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,u2
ASRock Z590 Phantom Gaming-ITX/TB4 DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z590 MPG Z590M GAMING EDGE WIFI LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B850M MAG MORTAR WIFI AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,ĐEN / XANH LÁ,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME M-D D4 LGA1700 DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z590M-ITX/ax LGA 1200 Mini ITX Intel Motherboard,12619255,LGA 1200,Mini-ITX,64,2,,DDR4,PCIe 4.0 x4; PCIe 3.0 x4,sata_6_gb_s
ASRock Z590 Extreme LGA1200 DDR4 ATX,20924516,LGA 1200,ATX,128,4,ĐEN / XANH DƯƠNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X470 Taichi ATX AM4,4873562,AM4,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI H110 H110M PRO-D DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,,sata_6_gb_s
Gigabyte AMD X370 GA-AX370-GAMING 5 DDR4 ATX,7297565,AM4,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME H610I-PLUS D4-CSM DDR4 Mini ITX,5870720,LGA 1700,Mini-ITX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte Z270 GA-Z270XP-SLI DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
B460M D3H,4465478,LGA 1200,Micro ATX,128,4,,DDR4,SATA and PCIe x4/x2,sata_6_gb_s
Biostar B550 MXC PRO DDR4 Micro ATX,2925612,AM4,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B350I PRO AC AM4 DDR4 Mini ITX,3952013,AM4,Mini-ITX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Colorful X570M CVN GAMING FROZEN V14 AM4 DDR4 Micro ATX,2925612,AM4,Micro ATX,128,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H110M GA-H110M-S2H GSM DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s
Asus Z270 PRIME AR DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF Gaming Z590-PLUS WIFI DDR4 ATX,12592910,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
ASUS ROG Strix B850-I Gaming WiFi7 W,7903237,AM5,Mini-ITX,128,2,TRẮNG / XÁM,DDR5,PCIe 5.0 x4,sata_6_gb_s
ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,3152443,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI X299 GAMING PRO CARBON LGA2066 DDR4 ATX,12882705,LGA 2066,ATX,128,8,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B350 AB350M-HDV DDR4 Micro ATX,2588133,AM4,Micro ATX,32,2,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B760M-PLUS WIFI II,6949021,LGA 1700,Micro ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,
MSI X470 GAMING M7 AC AM4 DDR4 ATX,9905720,AM4,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z890 ROG MAXIMUS HERO BTF LGA1851 DDR5 ATX,8693587,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
MSI B365 PRO-VDH DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
ASUS TUF GAMING B550M-E,3815546,AM4,Micro ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus TUF GAMING B650-E WIFI,5268737,AM5,ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,
MSI B150M BAZOOKA LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / TRẮNG,DDR4,,sata_6_gb_s
ASRock Z890M Riptide WiFi DDR5 Micro ATX,3951487,LGA 1851,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
MSI Z690 MEG UNIFY-X DDR5 ATX,6306466,LGA 1700,ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B650E AORUS TACHYON DDR5 ATX,6129691,AM5,ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
EVGA P55 P55V LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,16,4,ĐEN / XÁM,DDR3,,
Gigabyte Z97 GA-Z97M-D3H LGA1150 DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,32,4,ĐEN / VÀNG,DDR3,,
MSI A520 A520M PRO-VDH DDR4 Micro ATX,2897950,AM4,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
PRO Z690-A WIFI DDR4,7310738,LGA 1700,ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte AMD 785G GA-MA785GM-US2H AM3/AM2+/AM2 DDR2 Micro ATX,5268737,AM3,Micro ATX,16,4,RGB,DDR2,,sata_3_gb_s
Gigabyte Z170X UD3 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H87 PLUS LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / VÀNG,DDR3,,sata_6_gb_s
