tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
EVGA Z690 DARK K|NGP|N DDR5 EATX,13725482,LGA 1700,EATX,64,2,ĐEN / VÀNG,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus AMD 990X M5A99X EVO R2.0 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s
Gigabyte Z790 D LGA1700 DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Asus ROG STRIX Z490-F GAMING DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B650M PROJECT ZERO AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
Gigabyte Z790 GAMING X DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASRock X870E Taichi Lite AM5 DDR5 EATX,21075737,AM5,EATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Asus Z690 TUF GAMING Z690-PLUS WIFI D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
ASUS TUF GAMING B760M-PLUS WIFI,4858808,LGA 1700,Micro ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASRock Z390 Phantom Gaming 4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus Z690 TUF GAMING PLUS WIFI DDR5 ATX,8166687,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
MSI B460 M-A PRO DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B360M AORUS GAMING 3 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X870 Phantom Gaming Riptide WiFi AM5 DDR5 ATX,5268737,AM5,ATX,256,4,ĐEN / PURPLE,DDR5,PCIe 4.0 x4,
MSI X870E PRO-P WIFI DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
MSI Z790 MPG CARBON MAX WIFI LGA1700 DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus Z490 PRIME-P LGA1200 DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte Z590 Z590M GAMING X DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI A320M PRO-VH PLUS Micro ATX AM4,2897950,AM4,Micro ATX,32,2,,DDR4,,sata_6_gb_s
Gigabyte X570S GAMING X AM4 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI MAG B460 TOMAHAWK,7349992,LGA 1200,ATX,128,4,,DDR4,PCIe 3.0 x4 and SATA 6Gb/s; PCIe 3.0 x4,sata_6_gb_s
Asus PRIME Z390-P DDR4 ATX,9707869,LGA 1151,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
MSI Z690 MEG UNIFY WIFI LGA1700 DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte B650 M D2HP (rev. 1.2) AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte H610M S2H V2 LGA1700 DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Asus B350 PRIME B350M-A AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
MSI A320 A320M PRO-VH DDR4 Micro ATX,2897950,AM4,Micro ATX,64,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX X870E-E GAMING WIFI,12593173,AM5,ATX,256,4,ĐEN / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus B450 PRIME B450M-K AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,32,2,ĐEN,DDR4,PCIe 4.0 x4,
Asus H610 PRIME H610M-K D4-ARGB DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI MAG Z690M MORTAR WIFI DDR5 Micro ATX,4083212,LGA 1700,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B550M-PLUS (WI-FI),7218530,AM4,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
ASUS PRIME B760-PLUS D4,4557422,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
Asus H670 PRIME-PLUS D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z170 Pro4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus X299 TUF MARK 2 DDR4 ATX,23341670,LGA 2066,ATX,128,8,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B850 LiveMixer WiFi AM5 DDR5 ATX,5268737,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B650M-F-CSM,5532187,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus B460 TUF GAMING B460M-PLUS (WI-FI) LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,
MSI H410 H410M PRO-VH LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H510M H V2 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,64,2,XÁM / NÂU,DDR4,PCIe 4.0 x4,
Asus X299 Prime Edition 30 DDR4 ATX,23341670,LGA 2066,ATX,256,8,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760M DS3H AX DDR4 Micro ATX,4220206,LGA 1700,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z390 MPG GAMING EDGE AC DDR4 ATX,10295099,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Gigabyte B650 M D2H AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,96,2,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z390 GAMING X DDR4 ATX,7007770,LGA 1151,ATX,128,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,
ASUS TUF GAMING B850M-PLUS WIFI,5795637,AM5,Micro ATX,256,4,ĐEN / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte X870E AORUS MASTER AM5 DDR5 ATX,6129691,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Gigabyte Z890 UD LGA1851 DDR5 ATX,5928942,LGA 1851,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B760M-A AX6 II,4858808,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Asus H110 H110M-A LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN / VÀNG,DDR4,,sata_6_gb_s
Asus H510 PRIME H510M-R DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,,sata_6_gb_s
Gigabyte X870E AORUS PRO ICE DDR5 ATX AM5,6129691,AM5,ATX,256,4,TRẮNG,DDR5,PCIe 4.0 x4,
MSI Z790-S01,6306466,LGA 1700,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4; PCIe 4.0 x4 / SATA,sata_6_gb_s
Asus B150 PLUS D3 LGA1151 DDR3 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / VÀNG,DDR3,,sata_6_gb_s
Gigabyte B550 GAMING X V2 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX B550-XE GAMING WIFI,7093918,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4; PCIE 3.0 x 4,sata_6_gb_s
ASRock B550M HVS SE AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B660 DS3H AX DDR4 ATX LGA1700,6913982,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z790 AERO G DDR5 ATX,6913982,LGA 1700,ATX,256,4,ĐEN / TRẮNG,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI B760 PRO VC WIFI II DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Supermicro Intel C242 X11SCL-IF LGA1151 DDR4 Mini ITX,7729886,LGA 1151,Mini-ITX,64,2,XANH LÁ,DDR4,PCIe 4.0 x4,
Asus A620 Pro A620M-DASH-CSM AM5 DDR5 Micro ATX,5532187,AM5,Micro ATX,96,2,XANH LÁ,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME H610M-A D4-CSM DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
GIGABYTE B650E AORUS MASTER,6129691,AM5,ATX,128,4,,DDR5,PCIe 5.0 x4,sata_6_gb_s
Gigabyte Z590 AORUS ELITE AX DDR4 ATX,10215274,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
MSI MAG B760M MORTAR WIFI DDR5 Micro ATX,4083212,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B250 GA-B250-HD3 LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B250 PRIME B250M-K LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760 GAMING X DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte Z390 AORUS ELITE LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
MSI B560 MAG B560M MORTAR DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B450 TUF GAMING B450M-PLUS II AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte Z890 AI TOP LGA1851 DDR5 EATX,21589464,LGA 1851,EATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
Asus Z690-G ROG STRIX GAMING WIFI DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,128,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
MSI B860 PRO B860-P WIFI LGA1851 DDR5 ATX,6322537,LGA 1851,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s
Asus B860 PRIME B860M-K-CSM LGA1851 DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus Z390 ROG STRIX Z390-F GAMING DDR4 ATX,9707869,LGA 1151,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
MSI Z790 MPG EDGE WIFI DDR4 ATX,6306466,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
MSI B450 GAMING PRO CARBON AC AM4 DDR4 ATX,9905720,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
MSI H410 H410M PRO LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Q470 Pro Q470M-C/CSM LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,XANH LÁ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B250G STRIX Gaming DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte X870 AORUS STEALTH,6129691,AM5,ATX,256,4,TRẮNG,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI AMD B650 PRO B650-VC WIFI AM5 DDR5 ATX,6452944,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
MSI B760 MAG B760M MORTAR DDR5 Micro ATX,4083212,LGA 1700,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
