tên,giá,số lõi,xung cơ bản,xung boost,kiến trúc,tdp,đồ họa,socket
Intel Core i5-8400,113108569200,6,2.8,4.0,Coffee Lake,65,Intel UHD Graphics 630,LGA 1151
Intel Core i7-6700,77770440000,4,3.4,4.0,Skylake,65,Intel HD Graphics 530,LGA 1151
Intel Core Ultra 5 225,134681962800,10,3.3,4.9,Arrow Lake,65,Intel Xe,LGA 1851
Intel Core i7-14700,193825434000,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770,LGA 1700
Intel Core i9-11900K,283893720000,8,3.5,5.3,Rocket Lake,125,Intel UHD Graphics 750,LGA 1200
Intel Core i5-13500,148579477200,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i7-12700,183342231600,12,2.1,4.9,Alder Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i5-10600K,110642677200,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,LGA 1200
Intel Core i5-6600K,56898877200,4,3.5,3.9,Skylake,91,Intel HD Graphics 530,LGA 1151
Intel Core Ultra 9 285,366716077200,24,2.5,5.6,Arrow Lake,65,Intel Xe,LGA 1851
Intel Core i7-4770K,62595720000,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,LGA 1150
Intel Core i7-10700,252715993200,8,2.9,4.8,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
Intel Core i5-7500,39833640000,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,LGA 1151
Intel Core i5-14500,150539545200,14,2.6,5.0,Raptor Lake Refresh,65,Intel UHD Graphics 770,LGA 1700
Intel Core i7-9700,188849390400,8,3.0,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,LGA 1151
Intel Core Ultra 7 265,237098677200,20,2.4,5.3,Arrow Lake,65,Intel Xe,LGA 1851
Intel Core i5-11400,101158477200,6,2.6,4.4,Rocket Lake,65,Intel UHD Graphics 730,LGA 1200
Intel Core i5-7400,116718888000,4,3.0,3.5,Kaby Lake,65,Intel HD Graphics 630,LGA 1151
Intel Core i9-13900KS,271248120000,24,3.0,6.0,Raptor Lake,150,Intel UHD Graphics 770,LGA 1700
Intel Core i7-4790,94804063200,4,3.6,4.0,Haswell Refresh,84,Intel HD Graphics 4600,LGA 1150
Intel Core i5-4690K,34143120000,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,LGA 1150
Intel Core i9-12900KS,240260077200,16,3.4,5.5,Alder Lake,150,Intel UHD Graphics 770,LGA 1700
Intel Core i5-8600K,206900984400,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,LGA 1151
Intel Core i3-10100,63221677200,4,3.6,4.3,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
AMD EPYC 4564P,442589677200,16,4.5,5.7,Zen 4,170,Radeon,AM5
AMD Ryzen 5 2400G,72712200000,4,3.6,3.9,Zen,65,Radeon Vega 11,AM4
Intel Core i5-12500,113759817600,6,3.0,4.6,Alder Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i5-8500,107487600000,6,3.0,4.1,Coffee Lake,65,Intel UHD Graphics 630,LGA 1151
Intel Core i5-7500T,34775400000,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630,LGA 1151
Intel Core i5-7600,35281224000,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630,LGA 1151
Intel Core i7-4770,111913560000,4,3.4,3.9,Haswell,84,Intel HD Graphics 4600,LGA 1150
Intel Core i7-11700,238995517200,8,2.5,4.9,Rocket Lake,65,Intel UHD Graphics 750,LGA 1200
Intel Core i5-7600K,115637689200,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,LGA 1151
Intel Core i3-13100,79193070000,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730,LGA 1700
Intel Core i7-13700,202285340400,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i5-9400,94804063200,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,LGA 1151
Intel Core i3-10105,62595720000,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
Intel Core i5-4460,43349116800,4,3.2,3.4,Haswell Refresh,84,Intel HD Graphics 4600,LGA 1150
Intel Core i3-9100,68848969200,4,3.6,4.2,Coffee Lake Refresh,65,Intel UHD Graphics 630,LGA 1151
Intel Core i9-14900,361575640800,24,2.0,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770,LGA 1700
Intel Core i9-9900KS,878236920000,8,4.0,5.0,Coffee Lake Refresh,127,Intel UHD Graphics 630,LGA 1151
Intel Core i5-9500,125627713200,6,3.0,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630,LGA 1151
Intel Core i5-10500,145392786000,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
Intel Core i5-4690,32878560000,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,LGA 1150
AMD EPYC 4244P,119709572400,6,3.8,5.1,Zen 4,65,Radeon,AM5
Intel Core i9-13900,262389877200,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i5-8500T,79035000000,6,2.1,3.5,Coffee Lake,35,Intel UHD Graphics 630,LGA 1151
Intel Core i5-12600,158063677200,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i9-10900,247076055600,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
