tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp,interface,image_url
Gigabyte MINI ITX OC GeForce GTX 1660 Ti 6GB GDDR6 Black / Gray,10200000,GeForce GTX 1660 Ti,6.0,1500.0,1785.0,BLACK,170.0,120.0,PCIe x16,assets/images/gpu/gpu_gigabyte_mini_itx_oc_geforce_gtx_1660_ti_6gb_gddr6_black_gray.png
MSI VENTUS OC GeForce RTX 2080 Ti 11GB GDDR6 Silver / Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,GREY,268.0,250.0,PCIe x16,assets/images/gpu/gpu_msi_ventus_oc_geforce_rtx_2080_ti_11gb_gddr6_silver_black.png
Asus STRIX GAMING OC GeForce RTX 2080 Ti 11GB GDDR6 White,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1770.0,WHITE,305.0,250.0,PCIe x16,assets/images/gpu/gpu_asus_strix_gaming_oc_geforce_rtx_2080_ti_11gb_gddr6_white.png
MSI DUKE GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1665.0,BLACK,314.0,260.0,PCIe x16,assets/images/gpu/gpu_msi_duke_geforce_rtx_2080_ti_11gb_gddr6_black.png
Yeston Sakura Radeon RX 7800 XT 16GB GDDR6 Blue / Purple,14399760,Radeon RX 7800 XT,16.0,1295.0,2520.0,BLUE,340.0,263.0,PCIe x16,assets/images/gpu/gpu_yeston_sakura_radeon_rx_7800_xt_16gb_gddr6_blue_purple.png
PowerColor Hellhound Spectral Radeon RX 7800 XT 16GB GDDR6 White,14399760,Radeon RX 7800 XT,16.0,1295.0,2520.0,WHITE,322.0,263.0,PCIe x16,assets/images/gpu/gpu_powercolor_hellhound_spectral_radeon_rx_7800_xt_16gb_gddr6_white.png
PowerColor Red Devil Limited Edition OC Radeon RX 7800 XT 16GB GDDR6 Black,14399760,Radeon RX 7800 XT,16.0,1295.0,2565.0,BLACK,332.0,263.0,PCIe x16,assets/images/gpu/gpu_powercolor_red_devil_limited_edition_oc_radeon_rx_7800_xt_16gb_gddr6_black.png
Sapphire Toxic Radeon RX 6900 XT 16GB GDDR6 Silver / Yellow,18479760,Radeon RX 6900 XT,16.0,1825.0,2500.0,YELLOW,320.0,300.0,PCIe x16,assets/images/gpu/gpu_sapphire_toxic_radeon_rx_6900_xt_16gb_gddr6_silver_yellow.png
MSI GAMING Z TRIO Radeon RX 6900 XT 16GB GDDR6 Silver / Black,18479760,Radeon RX 6900 XT,16.0,1825.0,2425.0,GREY,324.0,300.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_z_trio_radeon_rx_6900_xt_16gb_gddr6_silver_black.png
PowerColor Red Devil OC Radeon RX 6900 XT 16GB GDDR6 Black,18479760,Radeon RX 6900 XT,16.0,2015.0,2340.0,BLACK,332.0,300.0,PCIe x16,assets/images/gpu/gpu_powercolor_red_devil_oc_radeon_rx_6900_xt_16gb_gddr6_black.png
Asus Noctua OC GeForce RTX 3070 LHR 8GB GDDR6 Brown / Black,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1845.0,BROWN,310.0,220.0,PCIe x16,assets/images/gpu/gpu_asus_noctua_oc_geforce_rtx_3070_lhr_8gb_gddr6_brown_black.png
PNY XLR8 Gaming REVEL EPIC-X RGB GeForce RTX 3070 LHR 8GB GDDR6 Silver / Black,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1725.0,GREY,294.0,220.0,PCIe x16,assets/images/gpu/gpu_pny_xlr8_gaming_revel_epic_x_rgb_geforce_rtx_3070_lhr_8gb_gddr6_silver_black.png
Zotac GeForce RTX 3070 LHR GAMING Twin Edge OC White Edition 8GB GDDR6 White,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1755.0,WHITE,232.0,220.0,PCIe x16,assets/images/gpu/gpu_zotac_geforce_rtx_3070_lhr_gaming_twin_edge_oc_white_edition_8gb_gddr6_white.png
MSI GAMING Z TRIO GeForce RTX 3070 LHR 8GB GDDR6 Black,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1845.0,BLACK,323.0,240.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_z_trio_geforce_rtx_3070_lhr_8gb_gddr6_black.png
