tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
Gigabyte H110 GA-H110M-A DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h110_ga_h110m_a_ddr4_micro_atx.png
ASRock H270 M-ITX/ac LGA1151 DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_h270_m_itx_ac_lga1151_ddr4_mini_itx.png
Gigabyte B760I AORUS PRO DDR5 Mini ITX,5400462,LGA 1700,Mini-ITX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b760i_aorus_pro_ddr5_mini_itx.png
Gigabyte Z790 AORUS ELITE X DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_aorus_elite_x_ddr5_atx.png
Asus B860 M-BRO-CSM LGA1851 DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,128,2,TRẮNG / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b860_m_bro_csm_lga1851_ddr5_micro_atx.png
MSI MEG Z390 ACE,10712931,LGA 1151,ATX,128,4,,DDR4,PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_msi_meg_z390_ace.png
ASRock H110 M-DGS DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / CAM,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_h110_m_dgs_ddr4_micro_atx.png
EVGA Z370 Micro ATX Micro ATX LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_evga_z370_micro_atx_micro_atx_lga1151_ddr4_micro_atx.png
Biostar P43 D3 LGA775 DDR3 ATX,1933460,LGA 775,ATX,4,2,RGB,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_p43_d3_lga775_ddr3_atx.png
ASUS PRIME B760M-A,4858808,LGA 1700,Micro ATX,128,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b760m_a.png
ASRock H370M-HDV/M.2,6849437,LGA 1151,Micro ATX,64,2,ĐEN,DDR4,SATA / PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asrock_h370m_hdv_m_2.png
MSI Z170I GAMING PRO AC DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z170i_gaming_pro_ac_ddr4_mini_itx.png
MSI MAG B560M MORTAR WIFI DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_mag_b560m_mortar_wifi_ddr4_micro_atx.png
ASUS PRIME B450M-A/CSM,5242655,AM4,Micro ATX,128,4,,DDR4,PCIE 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_prime_b450m_a_csm.png
Gigabyte A620 I AX DDR5 Mini ITX,6243765,AM5,Mini-ITX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_a620_i_ax_ddr5_mini_itx.png
H470 AORUS PRO AX,10537737,LGA 1200,ATX,128,4,,DDR4,PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_h470_aorus_pro_ax.png
Gigabyte H410M S2 V3 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h410m_s2_v3_ddr4_micro_atx.png
ASUS ROG STRIX B850-A GAMING WIFI7 NEO,6698216,AM5,ATX,256,4,TRẮNG / XÁM / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b850_a_gaming_wifi7_neo.png
ASUS B660 ProArt CREATOR D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b660_proart_creator_d4_ddr4_atx.png
ASRock B550 PG Velocita DDR4 ATX,4873562,AM4,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b550_pg_velocita_ddr4_atx.png
Supermicro Q370 MBD-X11SCV-Q-O LGA1151 DDR4 Mini ITX,7729886,LGA 1151,Mini-ITX,64,2,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_supermicro_q370_mbd_x11scv_q_o_lga1151_ddr4_mini_itx.png
ASUS PRIME B650M-A AX6,5532187,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b650m_a_ax6.png
ASUS Z270 PRIME Z270-P DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z270_prime_z270_p_ddr4_atx.png
Gigabyte Z370 Z370N WIFI DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z370_z370n_wifi_ddr4_mini_itx.png
ASUS PRIME B850-PLUS WIFI,5268737,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_prime_b850_plus_wifi.png
MSI B85 G43 LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b85_g43_lga1150_ddr3_atx.png
Asus H110 M-A/M.2 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h110_m_a_m_2_lga1151_ddr4_micro_atx.png
Gigabyte Z790 AORUS XTREME,13725482,LGA 1700,EATX,128,4,,DDR5,PCIe 5.0 x4/x2; PCIe 4.0 x4/x2; PCIe 4.0 x4/ x2,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_aorus_xtreme.png
MSI H55 M-E23 LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,8,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h55_m_e23_lga1156_ddr3_micro_atx.png
Gigabyte X570S UD AM4 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_x570s_ud_am4_ddr4_atx.png
Asus H610 PRIME H610M-A LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610m_a_lga1700_ddr5_micro_atx.png
Gigabyte B560M AORUS ELITE LGA1200 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b560m_aorus_elite_lga1200_ddr4_micro_atx.png
Gigabyte C232 MW21-SE0 LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XANH DƯƠNG,DDR4,,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_c232_mw21_se0_lga1151_ddr4_micro_atx.png
Asus PRIME B860M-A WIFI-CSM DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,256,4,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_prime_b860m_a_wifi_csm_ddr5_micro_atx.png
EVGA Z370 FTW LGA1151 DDR4 ATX,9682051,LGA 1151,ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_evga_z370_ftw_lga1151_ddr4_atx.png
ASUS ROG STRIX B760-A GAMING WIFI,6059087,LGA 1700,ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b760_a_gaming_wifi.png
Gigabyte Z790 GAMING PLUS AX DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_gaming_plus_ax_ddr5_atx.png
Gigabyte B560 M D3H LGA1200 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b560_m_d3h_lga1200_ddr4_micro_atx.png
Supermicro Intel C602 X9SRI-F-O LGA2011 DDR3 ATX,19495300,LGA 2011,ATX,64,8,XANH LÁ,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_supermicro_intel_c602_x9sri_f_o_lga2011_ddr3_atx.png
MSI B250M MORTAR ARCTIC DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b250m_mortar_arctic_ddr4_micro_atx.png
X570 Phantom Gaming-ITX/TB3 Mini ITX Thunderbolt 3 AMD Motherboard Model X570 Phantom GAM ITX,3952013,AM4,Mini-ITX,64,2,,DDR4,PCIe 4.0 x4 / SATA + PCIe,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_x570_phantom_gaming_itx_tb3_mini_itx_thunderbolt_3_amd_motherboard_model_x570_phantom_gam_itx.png
MSI H110 H110M ECO DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h110_h110m_eco_ddr4_micro_atx.png
Gigabyte Z390 AORUS MASTER WIFI DDR4 ATX,7007770,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z390_aorus_master_wifi_ddr4_atx.png
Gigabyte Z890 AERO G DDR5 ATX,5928942,LGA 1851,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16; PCIe 5.0 x8,assets/images/motherboard_motherboard_gigabyte_z890_aero_g_ddr5_atx.png
ASRock Z890 Pro-A WiFi,5268737,LGA 1851,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z890_pro_a_wifi.png
Gigabyte Z790 AORUS ELITE X WIFI7 DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_aorus_elite_x_wifi7_ddr5_atx.png
Gigabyte B450M GAMING AM4 DDR4 Micro ATX,2897687,AM4,Micro ATX,32,2,ĐỎ / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b450m_gaming_am4_ddr4_micro_atx.png
MSI Z390 MPG GAMING PRO CARBON AC DDR4 ATX,10295099,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z390_mpg_gaming_pro_carbon_ac_ddr4_atx.png
Asus Intel X79 Rampage IV Formula LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,32,4,ĐEN / ĐỎ,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_intel_x79_rampage_iv_formula_lga2011_ddr3_atx.png
Asus AMD 890GX M4A89GTD PRO/USB3 AM3 DDR3 ATX,3746259,AM3,ATX,16,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_amd_890gx_m4a89gtd_pro_usb3_am3_ddr3_atx.png
Asus B860 PRIME B860M-A LGA1851 DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,256,4,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_b860_prime_b860m_a_lga1851_ddr5_micro_atx.png
MSI B350 PC MATE AM4 DDR4 ATX,9905720,AM4,ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b350_pc_mate_am4_ddr4_atx.png
Gigabyte Z370 XP SLI (rev. 1.0) DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z370_xp_sli_rev_1_0_ddr4_atx.png
NZXT Z390 N7 WIFI LGA1151 DDR4 ATX,9682051,LGA 1151,ATX,64,4,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_nzxt_z390_n7_wifi_lga1151_ddr4_atx.png
MSI H510 I PRO WIFI DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h510_i_pro_wifi_ddr4_mini_itx.png
ASUS PRIME B760M-A WIFI II,4858808,LGA 1700,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b760m_a_wifi_ii.png
MSI H310M PRO-VDH DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h310m_pro_vdh_ddr4_micro_atx.png
ASRock B450 Pro4 ATX AM4,4873562,AM4,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b450_pro4_atx_am4.png
ASRock B760I Lightning WiFi LGA1700 DDR5 Mini ITX,5685778,LGA 1700,Mini-ITX,128,2,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asrock_b760i_lightning_wifi_lga1700_ddr5_mini_itx.png
Colorful B760I CVN FROZEN WIFI V20 DDR4 Mini ITX,5685778,LGA 1700,Mini-ITX,64,2,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_colorful_b760i_cvn_frozen_wifi_v20_ddr4_mini_itx.png
ASRock Z590 Extreme WiFi 6E DDR4 ATX LGA1200,20924516,LGA 1200,ATX,128,4,ĐEN / XANH DƯƠNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z590_extreme_wifi_6e_ddr4_atx_lga1200.png
Gigabyte Z690 AORUS ULTRA LGA1700 DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z690_aorus_ultra_lga1700_ddr5_atx.png
MSI Z97 G55 SLI DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z97_g55_sli_ddr3_atx.png
ASUS PRIME B560-PLUS LGA 1200 ATX Motherboard,12592910,LGA 1200,ATX,128,4,,DDR4,PCIE 4.0 x4; PCIE 3.0 x4 & SATA mode,sata_6_gb_s,PCIe 4.0 x16; PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_prime_b560_plus_lga_1200_atx_motherboard.png
EVGA Z170 Classified K LGA1151 DDR4 ATX,9682051,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_evga_z170_classified_k_lga1151_ddr4_atx.png
ASRock B760 M-H2/M.2 DDR5 Micro ATX,3152443,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b760_m_h2_m_2_ddr5_micro_atx.png
ASRock B560M ITX/ac LGA1200 DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b560m_itx_ac_lga1200_ddr4_mini_itx.png
Supermicro Intel C232 MBD-X11SSL-O LGA1151 DDR4 Micro ATX,10604389,LGA 1151,Micro ATX,64,4,ĐEN / XANH LÁ,DDR4,,sata_6_gb_s,PCIe 4.0 x16; PCIe 4.0 x8,assets/images/motherboard_motherboard_supermicro_intel_c232_mbd_x11ssl_o_lga1151_ddr4_micro_atx.png
MSI B660 PRO M-P WIFI DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b660_pro_m_p_wifi_ddr4_micro_atx.png
Gigabyte Q370 Q370M D3H GSM PLUS DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_q370_q370m_d3h_gsm_plus_ddr4_micro_atx.png
ASRock Z170 Pro4/D3 DDR3 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / CAM,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z170_pro4_d3_ddr3_atx.png
MSI Z490 MPG GAMING PLUS LGA1200 DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z490_mpg_gaming_plus_lga1200_ddr4_atx.png
Asus B560 TUF GAMING B560M-PLUS WIFI LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,VÀNG / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b560_tuf_gaming_b560m_plus_wifi_lga1200_ddr4_micro_atx.png
ASRock H570 Phantom Gaming 4 DDR4 ATX,20924516,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_h570_phantom_gaming_4_ddr4_atx.png
Asus ROG STRIX Z690-E GAMING WIFI DDR5 ATX,8166687,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_z690_e_gaming_wifi_ddr5_atx.png
ASRock X670E Pro RS AM5 DDR5 ATX,5268737,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x670e_pro_rs_am5_ddr5_atx.png
B460 AORUS PRO AC,10537737,LGA 1200,ATX,128,4,,DDR4,PCIe x4/x2 SSD,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_b460_aorus_pro_ac.png
Asus NVIDIA GeForce 7025 M4N68T-M V2 AM3 DDR3 Micro ATX,6638413,AM3,Micro ATX,16,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_nvidia_geforce_7025_m4n68t_m_v2_am3_ddr3_micro_atx.png
Asus H170 PRO LGA1151 DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h170_pro_lga1151_ddr4_atx.png
Gigabyte B550 AORUS PRO AX AM4 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b550_aorus_pro_ax_am4_ddr4_atx.png
Gigabyte B460M AORUS ELITE DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b460m_aorus_elite_ddr4_micro_atx.png
Asus C232 E3 PRO GAMING V5 DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_c232_e3_pro_gaming_v5_ddr4_atx.png
Asus H55 P7H55-M LE LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,8,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h55_p7h55_m_le_lga1156_ddr3_micro_atx.png
Asus C246 WS C246 PRO DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_c246_ws_c246_pro_ddr4_atx.png
ASUS ROG STRIX B450-I GAMING,3952013,AM4,Mini-ITX,32,2,,DDR4,PCIE 3.0 x4 and SATA; PCIE 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b450_i_gaming.png
ASRock X570 Extreme4 AM4 DDR4 ATX,4873562,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x570_extreme4_am4_ddr4_atx.png
Gigabyte H170 GA-GAMING 3 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h170_ga_gaming_3_ddr4_atx.png
ASRock Z170M Extreme4 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z170m_extreme4_ddr4_micro_atx.png
Colorful B460I CVN GAMING FROZEN V20 DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_colorful_b460i_cvn_gaming_frozen_v20_ddr4_mini_itx.png
ASRock B550 Extreme4 DDR4 ATX,4873562,AM4,ATX,128,4,XANH DƯƠNG / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b550_extreme4_ddr4_atx.png
Gigabyte H370 AORUS Gaming 3 WIFI DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h370_aorus_gaming_3_wifi_ddr4_atx.png
MSI B650M GAMING PLUS WIFI DDR5 Micro ATX,4992114,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b650m_gaming_plus_wifi_ddr5_micro_atx.png
MSI H610 PRO H610M-G LGA1700 DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h610_pro_h610m_g_lga1700_ddr4_micro_atx.png
MSI Z390 MPG GAMING PLUS DDR4 ATX,10295099,LGA 1151,ATX,128,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z390_mpg_gaming_plus_ddr4_atx.png
ASRock Z790 PG Lightning/D4 LGA1700 DDR4 ATX,5327222,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z790_pg_lightning_d4_lga1700_ddr4_atx.png
ASRock X670E Taichi Carrara,21075737,AM5,EATX,128,4,,DDR5,PCIe Gen4 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asrock_x670e_taichi_carrara.png
MSI Z97 Z97A GAMING 6 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / ĐỎ,DDR3,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z97_z97a_gaming_6_ddr3_atx.png
Asus ROG STRIX B250I GAMING DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b250i_gaming_ddr4_mini_itx.png
Asus ROG STRIX B650E-F GAMING WIFI DDR5 ATX,6698216,AM5,ATX,128,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b650e_f_gaming_wifi_ddr5_atx.png
ASRock AB350 Pro4,4873562,AM4,ATX,64,4,,DDR4,PCIe Gen3 x4; SATA3 6.0 Gb/s,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asrock_ab350_pro4.png
