tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
MSI B560M PRO DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b560m_pro_ddr4_micro_atx.png
ASUS B760M-AYW WIFI II,4858808,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_b760m_ayw_wifi_ii.png
MSI Z170A MPOWER GAMING TITANIUM DDR4 ATX,10295099,LGA 1151,ATX,64,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,u2,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z170a_mpower_gaming_titanium_ddr4_atx.png
ASRock Z590 Phantom Gaming-ITX/TB4 DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z590_phantom_gaming_itx_tb4_ddr4_mini_itx.png
MSI Z590 MPG Z590M GAMING EDGE WIFI LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z590_mpg_z590m_gaming_edge_wifi_lga1200_ddr4_micro_atx.png
MSI B850M MAG MORTAR WIFI AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,ĐEN / XANH LÁ,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_msi_b850m_mag_mortar_wifi_am5_ddr5_micro_atx.png
Asus H610 PRIME M-D D4 LGA1700 DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_m_d_d4_lga1700_ddr4_micro_atx.png
ASRock Z590M-ITX/ax LGA 1200 Mini ITX Intel Motherboard,12619255,LGA 1200,Mini-ITX,64,2,,DDR4,PCIe 4.0 x4; PCIe 3.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z590m_itx_ax_lga_1200_mini_itx_intel_motherboard.png
ASRock Z590 Extreme LGA1200 DDR4 ATX,20924516,LGA 1200,ATX,128,4,ĐEN / XANH DƯƠNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z590_extreme_lga1200_ddr4_atx.png
ASRock X470 Taichi ATX AM4,4873562,AM4,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x470_taichi_atx_am4.png
MSI H110 H110M PRO-D DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h110_h110m_pro_d_ddr4_micro_atx.png
Gigabyte AMD X370 GA-AX370-GAMING 5 DDR4 ATX,7297565,AM4,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_amd_x370_ga_ax370_gaming_5_ddr4_atx.png
Asus H610 PRIME H610I-PLUS D4-CSM DDR4 Mini ITX,5870720,LGA 1700,Mini-ITX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610i_plus_d4_csm_ddr4_mini_itx.png
Gigabyte Z270 GA-Z270XP-SLI DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z270_ga_z270xp_sli_ddr4_atx.png
B460M D3H,4465478,LGA 1200,Micro ATX,128,4,,DDR4,SATA and PCIe x4/x2,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_b460m_d3h.png
Biostar B550 MXC PRO DDR4 Micro ATX,2925612,AM4,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_b550_mxc_pro_ddr4_micro_atx.png
MSI B350I PRO AC AM4 DDR4 Mini ITX,3952013,AM4,Mini-ITX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b350i_pro_ac_am4_ddr4_mini_itx.png
Colorful X570M CVN GAMING FROZEN V14 AM4 DDR4 Micro ATX,2925612,AM4,Micro ATX,128,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_colorful_x570m_cvn_gaming_frozen_v14_am4_ddr4_micro_atx.png
Gigabyte H110M GA-H110M-S2H GSM DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h110m_ga_h110m_s2h_gsm_ddr4_micro_atx.png
Asus Z270 PRIME AR DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z270_prime_ar_ddr4_atx.png
ASUS TUF Gaming Z590-PLUS WIFI DDR4 ATX,12592910,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_z590_plus_wifi_ddr4_atx.png
ASUS ROG Strix B850-I Gaming WiFi7 W,7903237,AM5,Mini-ITX,128,2,TRẮNG / XÁM,DDR5,PCIe 5.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b850_i_gaming_wifi7_w.png
ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,3152443,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z690m_pg_riptide_d5_ddr5_micro_atx.png
MSI X299 GAMING PRO CARBON LGA2066 DDR4 ATX,12882705,LGA 2066,ATX,128,8,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_x299_gaming_pro_carbon_lga2066_ddr4_atx.png
ASRock B350 AB350M-HDV DDR4 Micro ATX,2588133,AM4,Micro ATX,32,2,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b350_ab350m_hdv_ddr4_micro_atx.png
ASUS TUF GAMING B760M-PLUS WIFI II,6949021,LGA 1700,Micro ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b760m_plus_wifi_ii.png
MSI X470 GAMING M7 AC AM4 DDR4 ATX,9905720,AM4,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_x470_gaming_m7_ac_am4_ddr4_atx.png
Asus Z890 ROG MAXIMUS HERO BTF LGA1851 DDR5 ATX,8693587,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,,assets/images/motherboard_motherboard_asus_z890_rog_maximus_hero_btf_lga1851_ddr5_atx.png
MSI B365 PRO-VDH DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b365_pro_vdh_ddr4_micro_atx.png
ASUS TUF GAMING B550M-E,3815546,AM4,Micro ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b550m_e.png
Asus TUF GAMING B650-E WIFI,5268737,AM5,ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b650_e_wifi.png
MSI B150M BAZOOKA LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / TRẮNG,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b150m_bazooka_lga1151_ddr4_micro_atx.png
ASRock Z890M Riptide WiFi DDR5 Micro ATX,3951487,LGA 1851,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z890m_riptide_wifi_ddr5_micro_atx.png
MSI Z690 MEG UNIFY-X DDR5 ATX,6306466,LGA 1700,ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z690_meg_unify_x_ddr5_atx.png
Gigabyte B650E AORUS TACHYON DDR5 ATX,6129691,AM5,ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b650e_aorus_tachyon_ddr5_atx.png
EVGA P55 P55V LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,16,4,ĐEN / XÁM,DDR3,,,PCIe 4.0 x16,assets/images/motherboard_motherboard_evga_p55_p55v_lga1156_ddr3_micro_atx.png
Gigabyte Z97 GA-Z97M-D3H LGA1150 DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,32,4,ĐEN / VÀNG,DDR3,,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z97_ga_z97m_d3h_lga1150_ddr3_micro_atx.png
MSI A520 A520M PRO-VDH DDR4 Micro ATX,2897950,AM4,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_a520_a520m_pro_vdh_ddr4_micro_atx.png
PRO Z690-A WIFI DDR4,7310738,LGA 1700,ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_pro_z690_a_wifi_ddr4.png
Gigabyte AMD 785G GA-MA785GM-US2H AM3/AM2+/AM2 DDR2 Micro ATX,5268737,AM3,Micro ATX,16,4,RGB,DDR2,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_amd_785g_ga_ma785gm_us2h_am3_am2_am2_ddr2_micro_atx.png
Gigabyte Z170X UD3 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z170x_ud3_ddr4_atx.png
