tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
Gigabyte GeForce RTX 3070 Ti VISION OC 8G GDDR6X,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1830.0,WHITE,320.0,290.0
Palit GameRock OC GeForce RTX 3070 Ti 8GB GDDR6X Silver,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1845.0,GREY,304.0,330.0
Inno3D iChill X4 GeForce RTX 3070 Ti 8GB GDDR6X Black / Silver,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1830.0,BLACK,300.0,290.0
NVIDIA Founders Edition GeForce RTX 2070 SUPER 8GB GDDR6,16536000,GeForce RTX 2070 SUPER,8.0,1605.0,1770.0,GREY,267.0,215.0
GIGABYTE GeForce RTX 2070 SUPER GAMING OC WHITE 8G GDDR6,16536000,GeForce RTX 2070 SUPER,8.0,1605.0,1815.0,WHITE,286.5,215.0
GIGABYTE GeForce RTX 2070 SUPER WINDFORCE OC 3X 8G GDDR6,16536000,GeForce RTX 2070 SUPER,8.0,1605.0,1785.0,BLACK,286.0,215.0
Colorful iGame Advanced OC-V GeForce RTX 3080 Ti 12GB GDDR6X Silver / Red,22799760,GeForce RTX 3080 Ti,12.0,1365.0,1695.0,RED,316.0,370.0
Gigabyte Vision OC GeForce RTX 3080 Ti 12GB GDDR6X White / Silver,22799760,GeForce RTX 3080 Ti,12.0,1365.0,1770.0,WHITE,320.0,350.0
NVIDIA Founders Edition GeForce RTX 3080 Ti 12GB GDDR6X,22799760,GeForce RTX 3080 Ti,12.0,1370.0,1670.0,GREY,285.0,350.0
Gigabyte EAGLE GeForce RTX 3080 Ti 12GB GDDR6X Black,22799760,GeForce RTX 3080 Ti,12.0,1365.0,1770.0,BLACK,320.0,350.0
Gigabyte GeForce RTX 2060 SUPER GAMING OC 3X WHITE 8GB GDDR6 White / Black,13800000,GeForce RTX 2060 SUPER,8.0,1650.0,1815.0,WHITE,280.0,175.0
NVIDIA GeForce RTX 2060 SUPER Founders Edition 8GB GDDR6,13800000,GeForce RTX 2060 SUPER,8.0,1470.0,1650.0,GREY,229.0,175.0
KFA2 EX GeForce RTX 2060 SUPER 8GB GDDR6 Black,13800000,GeForce RTX 2060 SUPER,8.0,1470.0,1665.0,BLACK,295.0,175.0
Asus ROG STRIX OC EVA GeForce RTX 3090 24GB GDDR6X Purple / Green,36455760,GeForce RTX 3090,24.0,1395.0,1890.0,PURPLE,318.0,350.0
MSI SUPRIM X GeForce RTX 3090 24GB GDDR6X Silver,36455760,GeForce RTX 3090,24.0,1395.0,1875.0,GREY,336.0,420.0
GALAX HOF Limited Edition GeForce RTX 3090 24GB GDDR6X White,36455760,GeForce RTX 3090,24.0,1395.0,1860.0,WHITE,339.0,350.0
Gigabyte AORUS XTREME WATERFORCE GeForce RTX 3090 24GB GDDR6X Black,36455760,GeForce RTX 3090,24.0,1395.0,1785.0,BLACK,252.0,350.0
